Language,Label_Type,F1_Macro,F1_Micro,F1_Samples,Total_Labels,Total_Files
BG,narratives,0.1339506172839506,0.32323232323232326,0.33809523809523806,18,35
BG,subnarratives,0.07100091827364555,0.23121387283236994,0.25784231641374494,55,35
EN,narratives,0.1301492367281841,0.27972027972027974,0.3423344947735191,21,41
EN,subnarratives,0.07943594581845137,0.1984126984126984,0.31156278229448964,71,41
HI,narratives,0.05277777777777778,0.0784313725490196,0.09523809523809523,15,35
HI,subnarratives,0.03314393939393939,0.07575757575757576,0.07800453514739229,44,35
PT,narratives,0.07293447293447293,0.12244897959183673,0.12857142857142856,12,35
PT,subnarratives,0.05459650526877419,0.13333333333333333,0.07346938775510205,35,35
RU,narratives,0.07881838984813813,0.20202020202020202,0.2125,11,32
RU,subnarratives,0.0533820968303727,0.14814814814814814,0.15426587301587302,29,32
